group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
0,3,0.0,39,12,0.0,0,0,0,0,21.0
0,8,21.0,24,46,0.0,0,0,0,0,21.0
0,9,21.0,24,47,0.0,0,0,0,0,21.0
0,0,0.0,39,14,0.0,0,0,0,0,21.0
0,10,0.0,39,13,0.0,0,0,0,0,21.0
0,11,0.0,39,15,0.0,0,0,0,0,21.0
0,13,0.0,39,9,0.0,0,0,0,0,21.0
0,14,21.0,24,40,0.0,0,0,0,0,21.0
0,12,0.0,39,3,0.0,0,0,0,0,21.0
0,1,0.0,39,10,0.0,0,0,0,0,21.0
0,7,0.0,39,8,0.0,0,0,0,0,21.0
0,5,21.0,24,29,0.0,0,0,0,0,21.0
0,15,0.0,39,5,0.0,0,0,0,0,21.0
0,4,0.0,39,4,0.0,0,0,0,0,21.0
0,2,0.0,39,0,0.0,0,0,0,0,21.0
0,6,21.0,24,30,0.0,0,0,0,0,21.0
1,0,21.0,24,39,0.0,0,0,0,0,21.0
1,1,0.0,40,10,0.0,0,0,0,0,42.0
1,0,42.0,47,6,0.0,0,0,0,0,21.0
2,0,0.0,32,0,1113.0,0,0,0,0,693.0
3,0,0.0,6,0,0.0,0,0,0,0,105.0
4,0,42.0,48,7,0.0,0,0,0,0,42.0
4,0,21.0,24,26,0.0,0,0,0,0,21.0
4,0,84.0,7,0,0.0,0,0,0,0,42.0
6,0,0.0,32,0,0.0,0,0,0,0,231.0
8,4,21.0,24,31,0.0,0,0,0,0,21.0
8,3,21.0,40,0,0.0,0,0,0,0,42.0
8,4,42.0,47,14,0.0,0,0,0,0,21.0
8,1,21.0,24,32,0.0,0,0,0,0,21.0
8,0,21.0,40,6,0.0,0,0,0,0,42.0
8,2,21.0,24,33,0.0,0,0,0,0,21.0
8,1,42.0,47,18,0.0,0,0,0,0,21.0
8,2,0.0,47,5,0.0,0,0,0,0,21.0
9,0,0.0,0,11,0.0,0,0,0,0,42.0
9,0,63.0,24,41,0.0,0,0,0,0,21.0
9,0,42.0,47,7,0.0,0,0,0,0,21.0
10,0,21.0,39,6,0.0,0,0,0,0,21.0
10,0,0.0,54,1,0.0,0,0,0,0,21.0
10,2,0.0,40,2,0.0,0,0,0,0,42.0
10,1,0.0,47,10,0.0,0,0,0,0,21.0
10,1,21.0,24,28,0.0,0,0,0,0,21.0
11,1,0.0,41,0,0.0,0,0,0,0,63.0
11,0,0.0,15,0,105.0,0,0,0,0,84.0
12,0,105.0,14,3,0.0,0,0,0,0,147.0
12,0,252.0,36,0,0.0,0,0,0,0,231.0
12,0,63.0,0,5,0.0,0,0,0,0,42.0
12,0,483.0,52,0,0.0,0,0,0,0,462.0
12,0,42.0,47,3,0.0,0,0,0,0,21.0
12,0,21.0,24,70,0.0,0,0,0,0,21.0
13,0,714.0,9,0,0.0,0,0,0,0,105.0
13,0,0.0,51,0,0.0,0,0,0,0,504.0
