group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
4,1,0.0,3,0,0.0,0,-1,1,0,42.0
7,0,21.0,46,11,0.0,0,-1,0,1,21.0
15,0,63.0,1,0,0.0,0,-1,1,0,63.0
15,0,504.0,53,0,0.0,0,-1,1,0,5166.0
15,0,126.0,27,0,0.0,0,-1,1,0,126.0
15,0,21.0,40,5,0.0,0,-1,1,0,42.0
15,0,252.0,37,0,0.0,0,-1,1,0,252.0
39,0,945.0,12,0,0.0,0,-1,1,0,945.0
55,0,63.0,0,14,0.0,0,-1,1,0,42.0
55,0,105.0,14,2,0.0,0,-1,1,0,147.0
55,0,252.0,36,1,0.0,0,-1,1,0,231.0
57,0,588.0,23,0,0.0,0,-1,1,0,168.0
57,0,756.0,46,0,0.0,0,-1,1,0,189.0
57,0,945.0,19,0,0.0,0,-1,1,0,168.0
57,0,1113.0,2,0,0.0,0,-1,1,0,693.0
57,0,1806.0,31,0,0.0,0,-1,1,0,651.0
