group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
4,1,42.0,47,11,0.0,1,-1,1,0,63.0
4,0,0.0,15,0,15246.0,1,-1,0,1,126.0
7,0,0.0,15,0,15372.0,1,-1,0,1,126.0
12,0,0.0,15,0,12621.0,1,-1,0,1,1470.0
15,0,9681.0,3,0,0.0,1,-1,1,0,126.0
15,0,9807.0,6,0,0.0,1,-1,1,0,126.0
15,0,9933.0,32,0,0.0,1,-1,1,0,3234.0
15,0,15498.0,47,8,0.0,1,-1,1,0,63.0
15,0,14784.0,51,0,0.0,1,-1,1,0,714.0
15,0,13167.0,13,0,0.0,1,-1,1,0,1617.0
35,0,0.0,15,0,14847.0,1,-1,0,1,399.0
52,3,0.0,0,14,0.0,1,-1,1,0,63.0
52,0,0.0,15,0,14091.0,1,-1,0,1,756.0
55,0,0.0,12,0,0.0,1,-1,1,0,714.0
