area,x1,x2,y1,y2,x,y,color,label,dim_x,dim_y,dim_x_y_code,device_group,gi,gj
441.0,12831.0,12852.0,2205.0,2226.0,12841.5,2215.5,#acc2d9,0_10,21.0,21.0,21.0_21.0,0,24,0
441.0,2520.0,2541.0,1428.0,1449.0,2530.5,1438.5,#56ae57,0_25,21.0,21.0,21.0_21.0,1,29,0
441.0,18690.0,18711.0,2079.0,2100.0,18700.5,2089.5,#acc2d9,0_26,21.0,21.0,21.0_21.0,0,24,1
441.0,16506.0,16527.0,9408.0,9429.0,16516.5,9418.5,#acc2d9,0_118,21.0,21.0,21.0_21.0,0,24,2
441.0,19131.0,19152.0,7728.0,7749.0,19141.5,7738.5,#acc2d9,0_21,21.0,21.0,21.0_21.0,0,24,3
441.0,18018.0,18039.0,8442.0,8463.0,18028.5,8452.5,#acc2d9,0_46,21.0,21.0,21.0_21.0,0,24,4
441.0,17262.0,17283.0,8925.0,8946.0,17272.5,8935.5,#acc2d9,0_137,21.0,21.0,21.0_21.0,0,24,5
441.0,16149.0,16170.0,9639.0,9660.0,16159.5,9649.5,#56ae57,0_70,21.0,21.0,21.0_21.0,1,29,1
441.0,2457.0,2478.0,2205.0,2226.0,2467.5,2215.5,#56ae57,0_136,21.0,21.0,21.0_21.0,1,29,2
441.0,18312.0,18333.0,1869.0,1890.0,18322.5,1879.5,#acc2d9,0_113,21.0,21.0,21.0_21.0,0,24,6
441.0,17220.0,17241.0,1260.0,1281.0,17230.5,1270.5,#acc2d9,0_3,21.0,21.0,21.0_21.0,0,24,7
441.0,15813.0,15834.0,9849.0,9870.0,15823.5,9859.5,#56ae57,0_97,21.0,21.0,21.0_21.0,1,29,3
441.0,15078.0,15099.0,63.0,84.0,15088.5,73.5,#acc2d9,0_57,21.0,21.0,21.0_21.0,0,24,8
441.0,17598.0,17619.0,1470.0,1491.0,17608.5,1480.5,#acc2d9,0_22,21.0,21.0,21.0_21.0,0,24,9
441.0,15456.0,15477.0,10080.0,10101.0,15466.5,10090.5,#56ae57,0_4,21.0,21.0,21.0_21.0,1,29,4
441.0,15981.0,16002.0,567.0,588.0,15991.5,577.5,#acc2d9,0_78,21.0,21.0,21.0_21.0,0,24,10
441.0,2499.0,2520.0,9114.0,9135.0,2509.5,9124.5,#56ae57,0_101,21.0,21.0,21.0_21.0,1,29,5
441.0,15519.0,15540.0,10038.0,10059.0,15529.5,10048.5,#56ae57,0_32,21.0,21.0,21.0_21.0,1,29,6
441.0,2373.0,2394.0,8253.0,8274.0,2383.5,8263.5,#56ae57,0_132,21.0,21.0,21.0_21.0,1,29,7
441.0,2436.0,2457.0,8190.0,8211.0,2446.5,8200.5,#56ae57,0_88,21.0,21.0,21.0_21.0,1,29,8
441.0,11844.0,11865.0,9072.0,9093.0,11854.5,9082.5,#56ae57,0_77,21.0,21.0,21.0_21.0,1,29,9
441.0,11949.0,11970.0,8211.0,8232.0,11959.5,8221.5,#56ae57,0_82,21.0,21.0,21.0_21.0,1,29,10
441.0,19194.0,19215.0,7686.0,7707.0,19204.5,7696.5,#acc2d9,0_74,21.0,21.0,21.0_21.0,0,24,11
441.0,16968.0,16989.0,9114.0,9135.0,16978.5,9124.5,#acc2d9,0_29,21.0,21.0,21.0_21.0,0,24,12
441.0,15225.0,15246.0,10227.0,10248.0,15235.5,10237.5,#56ae57,0_36,21.0,21.0,21.0_21.0,1,29,11
441.0,16674.0,16695.0,9303.0,9324.0,16684.5,9313.5,#acc2d9,0_37,21.0,21.0,21.0_21.0,0,24,13
441.0,19299.0,19320.0,7623.0,7644.0,19309.5,7633.5,#acc2d9,0_9,21.0,21.0,21.0_21.0,0,24,14
441.0,11886.0,11907.0,8253.0,8274.0,11896.5,8263.5,#56ae57,0_91,21.0,21.0,21.0_21.0,1,29,12
441.0,16317.0,16338.0,756.0,777.0,16327.5,766.5,#acc2d9,0_51,21.0,21.0,21.0_21.0,0,24,15
441.0,18438.0,18459.0,8169.0,8190.0,18448.5,8179.5,#acc2d9,0_59,21.0,21.0,21.0_21.0,0,24,16
441.0,17409.0,17430.0,1365.0,1386.0,17419.5,1375.5,#acc2d9,0_90,21.0,21.0,21.0_21.0,0,24,17
441.0,17325.0,17346.0,8883.0,8904.0,17335.5,8893.5,#acc2d9,0_116,21.0,21.0,21.0_21.0,0,24,18
441.0,18123.0,18144.0,1764.0,1785.0,18133.5,1774.5,#acc2d9,0_39,21.0,21.0,21.0_21.0,0,24,19
