n_group,n_partitions,num_div_y,num_div_x
0,147,3.0,3.0
1,60,6.0,3.0
2,196,3.0,6.0
3,53,9.0,3.0
4,38,3.0,9.0
5,86,12.0,3.0
6,62,6.0,6.0
7,108,3.0,12.0
8,242,15.0,3.0
9,71,3.0,15.0
10,3,18.0,3.0
11,22,9.0,6.0
12,16,6.0,9.0
13,15,3.0,18.0
14,3,21.0,3.0
15,7,3.0,21.0
16,3,24.0,3.0
17,7,12.0,6.0
18,23,6.0,12.0
19,3,3.0,24.0
20,17,27.0,3.0
21,5,9.0,9.0
22,23,3.0,27.0
23,6,30.0,3.0
24,25,15.0,6.0
25,31,6.0,15.0
26,12,3.0,30.0
27,4,3.0,33.0
28,9,18.0,6.0
29,4,12.0,9.0
30,22,9.0,12.0
31,18,6.0,18.0
32,1,39.0,3.0
33,1,3.0,39.0
34,9,21.0,6.0
35,1,6.0,21.0
36,1,15.0,9.0
37,7,24.0,6.0
38,36,27.0,6.0
39,10,9.0,18.0
40,11,6.0,27.0
41,61,30.0,6.0
42,1,12.0,15.0
43,3,6.0,30.0
44,1,21.0,9.0
45,7,9.0,21.0
46,6,33.0,6.0
47,1,6.0,33.0
48,3,36.0,6.0
49,1,12.0,18.0
50,1,9.0,24.0
51,3,6.0,36.0
52,1,39.0,6.0
53,4,6.0,39.0
54,6,9.0,27.0
55,15,42.0,6.0
56,1,21.0,12.0
57,5,12.0,21.0
58,7,6.0,42.0
59,8,45.0,6.0
60,8,30.0,9.0
61,6,18.0,15.0
62,11,9.0,30.0
63,8,6.0,45.0
64,1,12.0,24.0
65,2,6.0,48.0
66,9,9.0,33.0
67,2,21.0,15.0
68,8,18.0,18.0
69,8,12.0,27.0
70,1,9.0,39.0
71,2,12.0,30.0
72,2,42.0,9.0
73,4,9.0,42.0
74,1,15.0,27.0
75,3,9.0,45.0
76,2,9.0,48.0
77,1,9.0,51.0
78,6,12.0,39.0
79,1,54.0,9.0
80,13,15.0,33.0
81,4,12.0,42.0
82,4,57.0,9.0
83,1,9.0,57.0
84,2,60.0,9.0
85,5,45.0,12.0
86,1,12.0,45.0
87,1,63.0,9.0
88,6,48.0,12.0
89,1,15.0,39.0
90,5,18.0,33.0
91,5,51.0,12.0
92,1,72.0,9.0
93,5,54.0,12.0
94,15,57.0,12.0
95,5,18.0,39.0
96,7,60.0,12.0
97,1,48.0,15.0
98,1,15.0,48.0
99,4,63.0,12.0
100,1,12.0,63.0
101,3,66.0,12.0
102,2,15.0,54.0
103,4,21.0,39.0
104,1,69.0,12.0
105,1,57.0,15.0
106,6,72.0,12.0
107,2,75.0,12.0
108,3,60.0,15.0
109,1,15.0,60.0
110,1,12.0,75.0
111,1,21.0,45.0
