x1,x2,y1,y2,gi,gj
429.0,2652.0,351.0,1161.0,96.0,0.0
0.0,321.0,0.0,1488.0,95.0,0.0
495.0,1686.0,0.0,351.0,94.0,0.0
480.0,1674.0,1161.0,1488.0,93.0,0.0
1848.0,2310.0,93.0,351.0,92.0,0.0
1833.0,2232.0,1161.0,1431.0,91.0,0.0
321.0,429.0,345.0,1155.0,90.0,0.0
2652.0,2766.0,348.0,1089.0,89.0,0.0
1686.0,2142.0,0.0,93.0,88.0,0.0
321.0,495.0,0.0,186.0,87.0,0.0
2310.0,2541.0,222.0,351.0,86.0,0.0
2232.0,2442.0,1161.0,1296.0,85.0,0.0
321.0,480.0,1314.0,1488.0,84.0,0.0
1674.0,2142.0,1431.0,1488.0,83.0,0.0
1674.0,1833.0,1323.0,1431.0,82.0,0.0
1686.0,1848.0,93.0,192.0,81.0,0.0
2310.0,2433.0,162.0,222.0,80.0,0.0
2541.0,2643.0,279.0,351.0,79.0,0.0
2442.0,2550.0,1161.0,1227.0,78.0,0.0
2232.0,2334.0,1296.0,1365.0,77.0,0.0
2142.0,2229.0,48.0,93.0,76.0,0.0
321.0,336.0,186.0,345.0,75.0,0.0
2310.0,2373.0,129.0,162.0,74.0,0.0
2643.0,2706.0,315.0,348.0,74.0,1.0
2652.0,2709.0,1089.0,1125.0,73.0,0.0
2334.0,2391.0,1296.0,1329.0,72.0,0.0
2442.0,2499.0,1227.0,1260.0,72.0,1.0
2550.0,2607.0,1161.0,1191.0,71.0,0.0
2232.0,2283.0,1365.0,1398.0,70.0,0.0
2433.0,2487.0,192.0,222.0,69.0,0.0
2541.0,2589.0,249.0,279.0,68.0,0.0
2142.0,2184.0,1431.0,1461.0,67.0,0.0
2142.0,2181.0,21.0,48.0,66.0,0.0
2229.0,2271.0,72.0,93.0,65.0,0.0
462.0,495.0,327.0,351.0,64.0,0.0
1824.0,1848.0,192.0,219.0,62.0,0.0
1686.0,1713.0,192.0,216.0,63.0,0.0
1809.0,1833.0,1161.0,1188.0,62.0,1.0
1806.0,1833.0,1299.0,1323.0,63.0,1.0
1674.0,1704.0,1302.0,1323.0,61.0,0.0
1686.0,1719.0,333.0,351.0,60.0,0.0
1674.0,1707.0,1161.0,1179.0,60.0,1.0
1830.0,1848.0,318.0,351.0,59.0,0.0
321.0,339.0,1155.0,1188.0,59.0,1.0
321.0,345.0,1290.0,1314.0,58.0,0.0
336.0,360.0,321.0,345.0,58.0,1.0
456.0,480.0,1290.0,1314.0,58.0,2.0
336.0,360.0,186.0,210.0,58.0,3.0
471.0,495.0,186.0,210.0,58.0,4.0
2643.0,2670.0,294.0,315.0,57.0,0.0
2652.0,2682.0,1125.0,1143.0,56.0,0.0
2310.0,2340.0,111.0,129.0,56.0,1.0
2442.0,2466.0,1260.0,1281.0,55.0,0.0
2550.0,2574.0,1191.0,1212.0,55.0,1.0
2709.0,2733.0,1089.0,1110.0,55.0,2.0
2334.0,2358.0,1329.0,1350.0,55.0,3.0
2706.0,2739.0,333.0,348.0,54.0,0.0
2373.0,2406.0,147.0,162.0,54.0,1.0
465.0,480.0,1161.0,1191.0,53.0,0.0
2283.0,2307.0,1365.0,1383.0,52.0,0.0
2487.0,2514.0,207.0,222.0,51.0,0.0
2499.0,2526.0,1227.0,1242.0,51.0,1.0
2232.0,2259.0,1398.0,1413.0,51.0,2.0
2391.0,2418.0,1296.0,1311.0,51.0,3.0
2433.0,2460.0,177.0,192.0,51.0,4.0
2589.0,2616.0,264.0,279.0,51.0,5.0
2184.0,2208.0,1431.0,1446.0,50.0,0.0
2607.0,2625.0,1161.0,1179.0,48.0,0.0
2181.0,2208.0,36.0,48.0,49.0,0.0
2541.0,2562.0,234.0,249.0,47.0,0.0
429.0,462.0,342.0,351.0,46.0,0.0
1686.0,1698.0,309.0,333.0,44.0,0.0
2142.0,2166.0,1461.0,1473.0,45.0,0.0
339.0,363.0,1155.0,1167.0,45.0,1.0
483.0,495.0,303.0,327.0,44.0,1.0
1812.0,1830.0,336.0,351.0,43.0,0.0
1674.0,1689.0,1179.0,1197.0,42.0,0.0
2229.0,2250.0,60.0,72.0,41.0,0.0
1788.0,1809.0,1161.0,1173.0,41.0,1.0
1803.0,1824.0,192.0,204.0,41.0,2.0
1824.0,1833.0,1272.0,1299.0,40.0,0.0
1686.0,1695.0,216.0,243.0,40.0,1.0
1674.0,1689.0,1287.0,1302.0,39.0,0.0
1839.0,1848.0,219.0,243.0,36.0,0.0
360.0,378.0,333.0,345.0,37.0,0.0
1713.0,1737.0,192.0,201.0,38.0,0.0
1788.0,1806.0,1311.0,1323.0,37.0,1.0
450.0,471.0,186.0,195.0,35.0,0.0
1824.0,1833.0,1188.0,1209.0,34.0,0.0
336.0,345.0,300.0,321.0,34.0,1.0
2142.0,2163.0,12.0,21.0,35.0,1.0
2271.0,2292.0,84.0,93.0,35.0,2.0
345.0,366.0,1305.0,1314.0,35.0,3.0
2670.0,2691.0,306.0,315.0,35.0,4.0
336.0,345.0,210.0,231.0,34.0,2.0
360.0,381.0,186.0,195.0,35.0,5.0
444.0,465.0,1161.0,1170.0,35.0,6.0
321.0,330.0,1269.0,1290.0,34.0,3.0
471.0,480.0,1269.0,1290.0,34.0,4.0
435.0,456.0,1305.0,1314.0,35.0,7.0
486.0,495.0,210.0,231.0,34.0,5.0
2340.0,2358.0,120.0,129.0,32.0,0.0
2733.0,2751.0,1089.0,1098.0,32.0,1.0
2574.0,2592.0,1191.0,1200.0,32.0,2.0
2358.0,2376.0,1329.0,1338.0,32.0,3.0
2466.0,2484.0,1260.0,1269.0,32.0,4.0
1704.0,1731.0,1317.0,1323.0,33.0,0.0
2706.0,2718.0,321.0,333.0,30.0,0.0
1842.0,1848.0,294.0,318.0,29.0,0.0
2373.0,2385.0,135.0,147.0,30.0,1.0
1707.0,1731.0,1161.0,1167.0,31.0,0.0
2652.0,2667.0,1143.0,1152.0,28.0,0.0
2310.0,2325.0,102.0,111.0,28.0,1.0
321.0,327.0,1188.0,1209.0,27.0,0.0
2307.0,2325.0,1365.0,1371.0,26.0,0.0
2625.0,2643.0,1161.0,1167.0,26.0,1.0
1719.0,1737.0,345.0,351.0,26.0,2.0
2232.0,2244.0,1413.0,1422.0,25.0,0.0
2499.0,2508.0,1242.0,1254.0,24.0,0.0
2682.0,2691.0,1125.0,1137.0,24.0,1.0
1695.0,1704.0,216.0,228.0,24.0,2.0
2391.0,2400.0,1311.0,1323.0,24.0,3.0
1674.0,1680.0,1269.0,1287.0,23.0,0.0
1686.0,1689.0,276.0,309.0,22.0,0.0
474.0,480.0,1191.0,1209.0,23.0,1.0
2616.0,2631.0,273.0,279.0,21.0,0.0
2526.0,2541.0,1227.0,1233.0,21.0,1.0
2406.0,2421.0,156.0,162.0,21.0,2.0
2487.0,2502.0,201.0,207.0,21.0,3.0
2418.0,2433.0,1296.0,1302.0,21.0,4.0
2739.0,2754.0,342.0,348.0,21.0,5.0
1674.0,1680.0,1197.0,1212.0,20.0,0.0
2460.0,2475.0,186.0,192.0,21.0,6.0
1797.0,1812.0,345.0,351.0,21.0,7.0
1773.0,1788.0,1317.0,1323.0,21.0,8.0
2643.0,2658.0,288.0,294.0,21.0,9.0
2709.0,2724.0,1110.0,1116.0,21.0,10.0
2433.0,2448.0,171.0,177.0,21.0,11.0
1698.0,1704.0,318.0,333.0,20.0,1.0
2514.0,2529.0,216.0,222.0,21.0,12.0
2562.0,2577.0,243.0,249.0,21.0,13.0
447.0,462.0,336.0,342.0,21.0,14.0
2589.0,2604.0,258.0,264.0,21.0,15.0
2142.0,2157.0,1473.0,1479.0,21.0,16.0
477.0,483.0,312.0,327.0,20.0,2.0
2334.0,2349.0,1350.0,1356.0,21.0,17.0
2181.0,2196.0,30.0,36.0,21.0,18.0
2259.0,2274.0,1398.0,1404.0,21.0,19.0
2442.0,2457.0,1281.0,1287.0,21.0,20.0
1818.0,1824.0,1284.0,1299.0,20.0,3.0
2184.0,2199.0,1446.0,1452.0,21.0,21.0
2208.0,2217.0,1431.0,1440.0,19.0,0.0
456.0,465.0,1170.0,1179.0,19.0,1.0
339.0,348.0,1167.0,1176.0,19.0,2.0
2550.0,2559.0,1212.0,1221.0,19.0,3.0
2283.0,2292.0,1383.0,1392.0,19.0,4.0
1704.0,1716.0,1311.0,1317.0,17.0,0.0
1686.0,1689.0,243.0,267.0,15.0,0.0
489.0,495.0,291.0,303.0,16.0,0.0
480.0,486.0,210.0,222.0,16.0,1.0
2142.0,2154.0,6.0,12.0,17.0,1.0
345.0,351.0,210.0,222.0,16.0,2.0
378.0,402.0,342.0,345.0,18.0,0.0
1764.0,1788.0,1161.0,1164.0,18.0,1.0
459.0,471.0,195.0,201.0,17.0,2.0
1833.0,1839.0,219.0,231.0,16.0,3.0
1791.0,1803.0,192.0,198.0,17.0,3.0
345.0,351.0,309.0,321.0,16.0,4.0
330.0,336.0,1278.0,1290.0,16.0,5.0
465.0,471.0,1278.0,1290.0,16.0,6.0
1713.0,1725.0,201.0,207.0,17.0,4.0
2271.0,2283.0,78.0,84.0,17.0,5.0
1818.0,1824.0,1188.0,1200.0,16.0,7.0
345.0,357.0,1299.0,1305.0,17.0,6.0
1830.0,1833.0,1209.0,1230.0,13.0,0.0
