x1,x2,y1,y2,gi,gj
6237.0,10560.0,441.0,3039.0,399.0,0.0
1245.0,4923.0,2757.0,3978.0,397.0,0.0
3036.0,6237.0,801.0,2757.0,398.0,0.0
4923.0,7734.0,3039.0,3519.0,396.0,0.0
10665.0,11064.0,441.0,2985.0,395.0,0.0
2100.0,3036.0,948.0,1815.0,394.0,0.0
144.0,1245.0,3252.0,3930.0,393.0,0.0
4923.0,6879.0,3519.0,3720.0,392.0,0.0
4923.0,6237.0,2757.0,3039.0,391.0,0.0
1977.0,3036.0,2439.0,2757.0,390.0,0.0
4431.0,6237.0,624.0,801.0,389.0,0.0
7734.0,9147.0,3039.0,3189.0,388.0,0.0
2574.0,2943.0,1962.0,2439.0,387.0,0.0
7083.0,7863.0,219.0,441.0,386.0,0.0
4923.0,5577.0,3720.0,3930.0,385.0,0.0
621.0,1245.0,3054.0,3252.0,384.0,0.0
2415.0,4194.0,3978.0,4029.0,382.0,0.0
5160.0,6237.0,537.0,624.0,383.0,0.0
10560.0,10665.0,2235.0,3027.0,381.0,0.0
3699.0,4431.0,717.0,801.0,380.0,0.0
1611.0,1977.0,2592.0,2757.0,379.0,0.0
6651.0,6996.0,267.0,441.0,378.0,0.0
2625.0,2916.0,759.0,948.0,377.0,0.0
7734.0,8469.0,3189.0,3261.0,376.0,0.0
9147.0,9882.0,3039.0,3111.0,376.0,1.0
48.0,144.0,3381.0,3927.0,375.0,0.0
7302.0,7527.0,0.0,219.0,374.0,0.0
882.0,1245.0,2925.0,3054.0,373.0,0.0
5931.0,6198.0,369.0,537.0,372.0,0.0
0.0,48.0,3009.0,3924.0,371.0,0.0
6870.0,7020.0,0.0,264.0,370.0,0.0
2343.0,2574.0,2271.0,2439.0,369.0,0.0
5565.0,5844.0,408.0,537.0,368.0,0.0
3363.0,3642.0,672.0,801.0,368.0,1.0
4101.0,4371.0,588.0,717.0,367.0,0.0
4833.0,5100.0,495.0,624.0,366.0,0.0
6285.0,6564.0,318.0,441.0,365.0,0.0
2280.0,2535.0,816.0,948.0,364.0,0.0
2100.0,2190.0,585.0,948.0,363.0,0.0
5256.0,5550.0,222.0,318.0,362.0,0.0
2841.0,2946.0,492.0,753.0,361.0,0.0
6354.0,6639.0,81.0,174.0,360.0,0.0
6006.0,6270.0,129.0,228.0,359.0,0.0
2049.0,2283.0,2187.0,2298.0,358.0,0.0
5643.0,5922.0,174.0,267.0,357.0,0.0
3846.0,4014.0,564.0,717.0,356.0,0.0
3072.0,3348.0,492.0,585.0,355.0,0.0
4536.0,4818.0,315.0,405.0,354.0,0.0
5304.0,5478.0,393.0,537.0,353.0,0.0
4575.0,4746.0,480.0,624.0,352.0,0.0
1833.0,1932.0,2187.0,2433.0,351.0,0.0
3804.0,4092.0,405.0,489.0,350.0,0.0
4908.0,5181.0,267.0,354.0,349.0,0.0
3432.0,3720.0,447.0,528.0,348.0,0.0
2349.0,2607.0,585.0,675.0,347.0,0.0
213.0,447.0,3009.0,3108.0,346.0,0.0
951.0,1188.0,2685.0,2781.0,345.0,0.0
4179.0,4449.0,363.0,447.0,344.0,0.0
579.0,825.0,2856.0,2946.0,343.0,0.0
3120.0,3276.0,660.0,801.0,342.0,0.0
2193.0,2328.0,2022.0,2184.0,341.0,0.0
5577.0,6225.0,3720.0,3753.0,340.0,0.0
2973.0,3852.0,4029.0,4053.0,339.0,0.0
1476.0,1569.0,2352.0,2577.0,338.0,0.0
504.0,621.0,3087.0,3252.0,337.0,0.0
753.0,861.0,2685.0,2856.0,336.0,0.0
366.0,486.0,2856.0,3009.0,335.0,0.0
1113.0,1227.0,2526.0,2682.0,334.0,0.0
2412.0,2574.0,2022.0,2127.0,333.0,0.0
6879.0,7296.0,3519.0,3558.0,332.0,0.0
1857.0,2415.0,3978.0,4005.0,331.0,0.0
1686.0,1833.0,2352.0,2451.0,330.0,0.0
