n_group,n_partitions,num_div_y,num_div_x
0,215,3.0,3.0
1,313,6.0,3.0
2,49,3.0,6.0
3,282,9.0,3.0
4,82,3.0,9.0
5,39,12.0,3.0
6,19,6.0,6.0
7,160,3.0,12.0
8,90,15.0,3.0
9,10,3.0,15.0
10,36,18.0,3.0
11,70,9.0,6.0
12,16,6.0,9.0
13,5,3.0,18.0
14,15,3.0,21.0
15,2,24.0,3.0
16,17,12.0,6.0
17,53,6.0,12.0
18,12,3.0,24.0
19,1,27.0,3.0
20,29,9.0,9.0
21,33,3.0,27.0
22,2,30.0,3.0
23,73,15.0,6.0
24,3,6.0,15.0
25,19,3.0,30.0
26,5,3.0,33.0
27,35,18.0,6.0
28,2,12.0,9.0
29,3,9.0,12.0
30,6,6.0,18.0
31,5,3.0,36.0
32,1,39.0,3.0
33,1,42.0,3.0
34,9,21.0,6.0
35,19,6.0,21.0
36,15,3.0,42.0
37,15,15.0,9.0
38,1,9.0,15.0
39,6,3.0,45.0
40,2,48.0,3.0
41,36,24.0,6.0
42,4,12.0,12.0
43,26,6.0,24.0
44,3,54.0,3.0
45,8,27.0,6.0
46,19,18.0,9.0
47,1,9.0,18.0
48,7,6.0,27.0
49,1,3.0,54.0
50,6,3.0,57.0
51,3,30.0,6.0
52,1,15.0,12.0
53,11,6.0,30.0
54,5,3.0,60.0
55,9,21.0,9.0
56,3,9.0,21.0
57,2,3.0,63.0
58,1,33.0,6.0
59,8,6.0,33.0
60,17,3.0,69.0
61,17,24.0,9.0
62,4,18.0,12.0
63,6,9.0,24.0
64,3,6.0,36.0
65,4,3.0,72.0
66,1,75.0,3.0
67,2,39.0,6.0
68,4,27.0,9.0
69,1,42.0,6.0
70,7,21.0,12.0
71,2,6.0,42.0
72,2,3.0,84.0
73,6,30.0,9.0
74,3,9.0,30.0
75,3,6.0,45.0
76,1,3.0,93.0
77,4,48.0,6.0
78,4,24.0,12.0
79,1,12.0,24.0
80,3,6.0,48.0
81,12,33.0,9.0
82,8,9.0,33.0
83,1,6.0,51.0
84,1,54.0,6.0
85,2,36.0,9.0
86,5,27.0,12.0
87,2,12.0,27.0
88,3,9.0,36.0
89,2,6.0,54.0
90,1,57.0,6.0
91,8,6.0,57.0
92,2,39.0,9.0
93,5,9.0,39.0
94,2,30.0,12.0
95,2,24.0,15.0
96,1,12.0,30.0
97,2,6.0,60.0
98,1,3.0,123.0
99,5,42.0,9.0
100,4,9.0,42.0
101,2,6.0,63.0
102,11,33.0,12.0
103,4,12.0,33.0
104,4,6.0,66.0
105,4,45.0,9.0
106,5,27.0,15.0
107,7,9.0,45.0
108,6,6.0,69.0
109,1,3.0,141.0
110,3,48.0,9.0
111,6,36.0,12.0
112,2,24.0,18.0
113,3,12.0,36.0
114,1,9.0,48.0
115,1,6.0,72.0
116,4,30.0,15.0
117,1,9.0,51.0
118,1,78.0,6.0
119,10,39.0,12.0
120,1,81.0,6.0
121,1,27.0,18.0
122,1,9.0,54.0
123,1,33.0,15.0
124,2,84.0,6.0
125,8,42.0,12.0
126,3,12.0,42.0
127,3,6.0,84.0
128,4,9.0,57.0
129,2,87.0,6.0
130,4,6.0,87.0
131,1,90.0,6.0
132,3,45.0,12.0
133,2,36.0,15.0
134,1,30.0,18.0
135,2,15.0,36.0
136,5,12.0,45.0
137,1,6.0,90.0
138,1,93.0,6.0
139,3,27.0,21.0
140,1,9.0,63.0
141,1,96.0,6.0
142,8,48.0,12.0
143,2,12.0,48.0
144,7,39.0,15.0
145,1,15.0,39.0
146,2,33.0,18.0
147,1,51.0,12.0
148,2,42.0,15.0
149,1,21.0,30.0
150,1,54.0,12.0
151,1,36.0,18.0
152,1,12.0,54.0
153,1,6.0,111.0
154,1,15.0,45.0
155,1,12.0,57.0
156,1,33.0,21.0
157,1,39.0,18.0
158,2,48.0,15.0
159,1,81.0,9.0
160,1,6.0,123.0
161,1,42.0,18.0
162,2,9.0,84.0
163,1,15.0,51.0
164,2,6.0,129.0
165,1,87.0,9.0
166,3,12.0,66.0
167,2,90.0,9.0
168,1,54.0,15.0
169,1,6.0,135.0
170,3,39.0,21.0
171,2,21.0,39.0
172,1,69.0,12.0
173,2,6.0,138.0
174,1,6.0,141.0
175,2,57.0,15.0
176,1,15.0,57.0
177,3,48.0,18.0
178,1,36.0,24.0
179,1,75.0,12.0
180,1,6.0,150.0
181,1,102.0,9.0
182,1,51.0,18.0
183,1,9.0,102.0
184,1,45.0,21.0
185,1,15.0,63.0
186,1,81.0,12.0
187,1,54.0,18.0
188,1,21.0,48.0
189,3,12.0,84.0
190,1,57.0,18.0
191,3,18.0,57.0
192,1,9.0,114.0
193,1,69.0,15.0
194,1,12.0,87.0
195,1,51.0,21.0
196,1,90.0,12.0
197,1,24.0,45.0
198,2,9.0,120.0
199,1,75.0,15.0
200,1,54.0,21.0
201,1,21.0,54.0
202,1,96.0,12.0
203,1,9.0,129.0
204,1,39.0,30.0
205,1,21.0,57.0
206,1,6.0,204.0
207,3,18.0,69.0
208,1,9.0,138.0
209,2,6.0,207.0
210,1,15.0,84.0
211,1,9.0,141.0
212,1,87.0,15.0
213,1,21.0,63.0
214,2,45.0,30.0
215,2,18.0,75.0
216,1,24.0,57.0
217,1,66.0,21.0
218,1,21.0,66.0
219,1,78.0,18.0
220,3,54.0,27.0
221,1,18.0,81.0
222,1,99.0,15.0
223,7,72.0,21.0
224,2,57.0,27.0
225,1,9.0,174.0
226,1,75.0,21.0
227,1,21.0,75.0
228,3,66.0,24.0
229,1,45.0,36.0
230,1,18.0,90.0
231,1,12.0,135.0
232,1,9.0,183.0
233,1,69.0,24.0
234,1,111.0,15.0
235,1,12.0,141.0
236,1,12.0,144.0
237,1,66.0,27.0
238,1,18.0,99.0
239,1,78.0,24.0
240,1,63.0,30.0
241,2,9.0,210.0
242,1,72.0,27.0
243,1,66.0,30.0
244,1,24.0,84.0
245,1,75.0,27.0
246,1,18.0,114.0
247,1,24.0,87.0
248,1,12.0,174.0
249,1,39.0,54.0
250,1,27.0,78.0
251,1,15.0,141.0
252,3,21.0,102.0
253,1,90.0,24.0
254,1,105.0,21.0
255,2,93.0,24.0
256,1,63.0,36.0
257,1,27.0,84.0
258,1,45.0,51.0
259,1,96.0,24.0
260,1,78.0,30.0
261,1,12.0,198.0
262,2,21.0,114.0
263,1,30.0,81.0
264,1,51.0,48.0
265,1,18.0,138.0
266,1,84.0,30.0
267,1,12.0,213.0
268,1,96.0,27.0
269,1,18.0,144.0
270,1,12.0,216.0
271,3,87.0,30.0
272,1,30.0,87.0
273,1,126.0,21.0
274,1,21.0,126.0
275,1,93.0,30.0
276,1,87.0,33.0
277,1,33.0,87.0
278,1,99.0,30.0
279,1,33.0,90.0
280,1,15.0,198.0
281,1,102.0,30.0
282,1,36.0,87.0
283,1,105.0,30.0
284,1,81.0,39.0
285,2,39.0,87.0
286,1,96.0,36.0
287,1,21.0,171.0
288,1,12.0,303.0
289,1,66.0,57.0
290,1,81.0,48.0
291,1,45.0,87.0
292,2,66.0,63.0
293,1,42.0,99.0
294,2,12.0,348.0
295,1,21.0,204.0
296,1,72.0,60.0
297,1,105.0,42.0
298,1,93.0,48.0
299,1,48.0,93.0
300,1,27.0,168.0
301,1,138.0,33.0
302,1,27.0,171.0
303,1,24.0,204.0
304,1,57.0,87.0
305,1,69.0,72.0
306,1,18.0,279.0
307,1,69.0,75.0
308,1,15.0,351.0
309,4,69.0,78.0
310,1,180.0,30.0
311,1,114.0,48.0
312,1,63.0,87.0
313,1,108.0,51.0
314,2,66.0,84.0
315,1,69.0,81.0
316,1,75.0,75.0
317,1,66.0,87.0
318,2,69.0,84.0
319,1,18.0,327.0
320,1,165.0,36.0
321,1,72.0,84.0
322,1,123.0,51.0
323,1,204.0,33.0
324,3,66.0,102.0
325,2,114.0,60.0
326,2,66.0,105.0
327,1,63.0,111.0
328,1,81.0,87.0
329,1,75.0,96.0
330,1,60.0,120.0
331,1,42.0,174.0
332,2,57.0,129.0
333,1,75.0,99.0
334,1,45.0,165.0
335,1,42.0,177.0
336,1,45.0,168.0
337,1,18.0,426.0
338,1,90.0,87.0
339,1,201.0,39.0
340,1,48.0,165.0
341,1,42.0,189.0
342,1,45.0,177.0
343,1,48.0,168.0
344,1,150.0,54.0
345,1,51.0,159.0
346,1,39.0,210.0
347,1,153.0,54.0
348,2,42.0,198.0
349,1,180.0,48.0
350,1,45.0,195.0
351,1,141.0,66.0
352,1,159.0,60.0
353,1,111.0,87.0
354,1,108.0,90.0
355,1,33.0,312.0
356,1,84.0,123.0
357,1,66.0,159.0
358,1,177.0,60.0
359,1,129.0,84.0
360,1,84.0,129.0
361,1,192.0,57.0
362,1,69.0,159.0
363,1,183.0,60.0
364,1,141.0,78.0
365,1,39.0,282.0
366,1,180.0,63.0
367,1,141.0,81.0
368,2,66.0,174.0
369,1,30.0,387.0
370,2,66.0,177.0
371,1,123.0,96.0
372,1,81.0,147.0
373,1,84.0,144.0
374,1,96.0,129.0
375,1,84.0,150.0
376,1,90.0,141.0
377,1,69.0,186.0
378,1,150.0,87.0
379,1,126.0,108.0
380,1,96.0,150.0
381,1,96.0,153.0
382,1,99.0,153.0
383,1,45.0,339.0
384,1,111.0,141.0
385,1,546.0,30.0
386,1,33.0,507.0
387,2,159.0,111.0
388,1,42.0,429.0
389,1,72.0,255.0
390,1,171.0,108.0
391,1,27.0,699.0
392,1,393.0,51.0
393,1,105.0,198.0
394,1,90.0,231.0
395,1,225.0,93.0
396,1,165.0,129.0
397,1,27.0,804.0
398,1,93.0,237.0
399,1,90.0,246.0
400,1,93.0,246.0
