x1,x2,y1,y2,gi,gj
1755.0,9789.0,462.0,4116.0,238.0,0.0
0.0,8592.0,4116.0,4659.0,237.0,0.0
9789.0,10959.0,462.0,3582.0,236.0,0.0
0.0,1755.0,2850.0,4116.0,235.0,0.0
0.0,1755.0,444.0,1098.0,234.0,0.0
0.0,1755.0,1698.0,2280.0,233.0,0.0
7563.0,8436.0,0.0,462.0,232.0,0.0
4947.0,5634.0,0.0,462.0,231.0,0.0
2331.0,3018.0,0.0,462.0,231.0,1.0
0.0,402.0,1251.0,1698.0,230.0,0.0
0.0,402.0,0.0,444.0,229.0,0.0
0.0,402.0,2439.0,2850.0,228.0,0.0
8592.0,9201.0,4116.0,4383.0,227.0,0.0
9789.0,10389.0,3582.0,3843.0,226.0,0.0
3942.0,4275.0,207.0,462.0,225.0,0.0
3525.0,3855.0,207.0,462.0,224.0,0.0
6141.0,6471.0,207.0,462.0,224.0,1.0
3105.0,3435.0,207.0,462.0,224.0,2.0
6978.0,7308.0,207.0,462.0,224.0,3.0
4362.0,4692.0,207.0,462.0,224.0,4.0
6561.0,6891.0,207.0,462.0,224.0,5.0
1755.0,2076.0,207.0,462.0,223.0,0.0
5724.0,6054.0,207.0,462.0,224.0,6.0
1326.0,1656.0,207.0,444.0,222.0,0.0
909.0,1239.0,207.0,444.0,222.0,1.0
489.0,819.0,2613.0,2850.0,222.0,2.0
909.0,1239.0,2613.0,2850.0,222.0,3.0
489.0,819.0,207.0,444.0,222.0,4.0
1326.0,1653.0,2613.0,2850.0,221.0,0.0
489.0,819.0,1464.0,1698.0,220.0,0.0
1326.0,1656.0,1464.0,1698.0,220.0,1.0
906.0,1239.0,1470.0,1698.0,219.0,0.0
528.0,882.0,1251.0,1407.0,218.0,0.0
948.0,1302.0,1251.0,1407.0,218.0,1.0
1365.0,1749.0,0.0,141.0,217.0,0.0
3981.0,4365.0,0.0,141.0,217.0,1.0
528.0,912.0,0.0,141.0,217.0,2.0
3144.0,3528.0,0.0,141.0,217.0,3.0
948.0,1329.0,0.0,141.0,216.0,0.0
1785.0,2166.0,0.0,141.0,216.0,1.0
6180.0,6561.0,0.0,141.0,216.0,2.0
4401.0,4782.0,0.0,141.0,216.0,3.0
7017.0,7398.0,0.0,141.0,216.0,4.0
3564.0,3945.0,0.0,141.0,216.0,5.0
