n_group,n_partitions,num_div_y,num_div_x
0,143,3.0,3.0
1,25,6.0,3.0
2,44,3.0,6.0
3,10,9.0,3.0
4,36,3.0,9.0
5,1,12.0,3.0
6,17,6.0,6.0
7,11,3.0,12.0
8,3,15.0,3.0
9,2,18.0,3.0
10,10,9.0,6.0
11,19,6.0,9.0
12,5,3.0,18.0
13,2,21.0,3.0
14,1,3.0,21.0
15,1,24.0,3.0
16,8,12.0,6.0
17,7,6.0,12.0
18,2,3.0,24.0
19,5,9.0,9.0
20,4,15.0,6.0
21,22,6.0,15.0
22,1,33.0,3.0
23,2,18.0,6.0
24,4,12.0,9.0
25,1,9.0,12.0
26,3,6.0,18.0
27,1,21.0,6.0
28,2,9.0,15.0
29,1,24.0,6.0
30,2,12.0,12.0
31,1,6.0,24.0
32,5,9.0,18.0
33,1,6.0,27.0
34,6,21.0,9.0
35,8,9.0,21.0
36,1,24.0,9.0
37,2,12.0,18.0
38,1,9.0,24.0
39,1,15.0,15.0
40,2,27.0,9.0
41,3,12.0,21.0
42,1,18.0,15.0
43,1,15.0,18.0
44,2,24.0,12.0
45,2,12.0,24.0
46,1,9.0,33.0
47,1,15.0,21.0
48,1,18.0,18.0
49,1,12.0,27.0
50,1,15.0,24.0
51,6,15.0,27.0
52,1,18.0,24.0
53,1,30.0,15.0
54,2,15.0,33.0
55,4,21.0,24.0
56,2,18.0,30.0
57,1,21.0,27.0
58,5,24.0,24.0
59,2,33.0,18.0
60,2,18.0,33.0
61,1,21.0,30.0
62,2,27.0,24.0
63,2,24.0,27.0
64,1,24.0,33.0
65,1,21.0,42.0
66,1,27.0,39.0
67,1,30.0,42.0
68,1,30.0,48.0
69,1,30.0,54.0
70,1,33.0,51.0
71,1,30.0,57.0
72,2,33.0,57.0
73,1,36.0,57.0
74,2,33.0,63.0
75,1,159.0,15.0
76,1,45.0,87.0
77,1,69.0,102.0
78,1,66.0,108.0
79,1,72.0,102.0
80,1,60.0,123.0
81,1,99.0,162.0
82,1,108.0,159.0
83,1,57.0,468.0
84,1,174.0,159.0
85,1,135.0,210.0
86,1,129.0,231.0
87,1,186.0,174.0
88,1,93.0,456.0
89,1,741.0,114.0
90,1,810.0,108.0
91,1,270.0,399.0
92,1,258.0,462.0
93,1,327.0,1194.0
94,1,351.0,1191.0
95,1,1488.0,321.0
96,1,810.0,2223.0
