n_group,n_partitions,num_div_y,num_div_x
0,227,3.0,3.0
1,318,6.0,3.0
2,62,3.0,6.0
3,266,9.0,3.0
4,77,3.0,9.0
5,37,12.0,3.0
6,18,6.0,6.0
7,163,3.0,12.0
8,100,15.0,3.0
9,6,3.0,15.0
10,25,18.0,3.0
11,70,9.0,6.0
12,16,6.0,9.0
13,8,3.0,18.0
14,1,21.0,3.0
15,9,3.0,21.0
16,1,24.0,3.0
17,16,12.0,6.0
18,60,6.0,12.0
19,20,3.0,24.0
20,1,27.0,3.0
21,27,9.0,9.0
22,45,3.0,27.0
23,84,15.0,6.0
24,12,6.0,15.0
25,6,3.0,30.0
26,1,33.0,3.0
27,6,3.0,33.0
28,1,36.0,3.0
29,37,18.0,6.0
30,8,12.0,9.0
31,4,9.0,12.0
32,10,6.0,18.0
33,2,3.0,36.0
34,1,39.0,3.0
35,2,42.0,3.0
36,10,21.0,6.0
37,17,6.0,21.0
38,17,3.0,42.0
39,13,15.0,9.0
40,1,9.0,15.0
41,7,3.0,45.0
42,1,48.0,3.0
43,29,24.0,6.0
44,2,12.0,12.0
45,19,6.0,24.0
46,2,3.0,51.0
47,2,54.0,3.0
48,6,27.0,6.0
49,13,18.0,9.0
50,5,6.0,27.0
51,3,3.0,54.0
52,8,3.0,57.0
53,1,30.0,6.0
54,1,15.0,12.0
55,14,6.0,30.0
56,8,3.0,60.0
57,14,21.0,9.0
58,1,9.0,21.0
59,1,33.0,6.0
60,5,6.0,33.0
61,1,3.0,66.0
62,20,3.0,69.0
63,17,24.0,9.0
64,1,18.0,12.0
65,3,9.0,24.0
66,2,6.0,36.0
67,3,3.0,72.0
68,1,75.0,3.0
69,3,15.0,15.0
70,1,3.0,75.0
71,2,39.0,6.0
72,1,3.0,78.0
73,3,27.0,9.0
74,3,21.0,12.0
75,3,6.0,42.0
76,1,3.0,84.0
77,1,45.0,6.0
78,9,30.0,9.0
79,2,18.0,15.0
80,4,9.0,30.0
81,1,3.0,90.0
82,1,3.0,93.0
83,1,96.0,3.0
84,6,24.0,12.0
85,2,6.0,48.0
86,9,33.0,9.0
87,5,9.0,33.0
88,1,108.0,3.0
89,1,36.0,9.0
90,5,27.0,12.0
91,1,18.0,18.0
92,16,9.0,36.0
93,2,6.0,54.0
94,1,57.0,6.0
95,6,6.0,57.0
96,8,9.0,39.0
97,13,30.0,12.0
98,1,24.0,15.0
99,1,6.0,60.0
100,1,3.0,120.0
101,2,3.0,123.0
102,5,9.0,42.0
103,18,33.0,12.0
104,1,12.0,33.0
105,2,6.0,66.0
106,3,27.0,15.0
107,8,9.0,45.0
108,1,3.0,138.0
109,6,36.0,12.0
110,2,12.0,36.0
111,1,3.0,147.0
112,1,30.0,15.0
113,1,9.0,51.0
114,11,39.0,12.0
115,6,12.0,39.0
116,2,81.0,6.0
117,2,9.0,54.0
118,3,33.0,15.0
119,1,84.0,6.0
120,7,42.0,12.0
121,3,12.0,42.0
122,6,6.0,84.0
123,5,9.0,57.0
124,2,87.0,6.0
125,5,6.0,87.0
126,4,45.0,12.0
127,5,36.0,15.0
128,1,30.0,18.0
129,1,15.0,36.0
130,8,12.0,45.0
131,1,9.0,60.0
132,1,6.0,93.0
133,2,96.0,6.0
134,2,12.0,48.0
135,4,39.0,15.0
136,1,33.0,18.0
137,1,6.0,102.0
138,1,9.0,69.0
139,4,42.0,15.0
140,2,30.0,21.0
141,1,15.0,42.0
142,2,36.0,18.0
143,2,45.0,15.0
144,1,57.0,12.0
