2079,  3018,  148,  1068
415,  1693,  919,  1315
1012,  2078,  267,  918
3020,  3381,  148,  965
1694,  2078,  919,  1255
3382,  3530,  148,  963
3556,  3688,  148,  1027
700,  1011,  316,  604
48,  414,  1084,  1311
2079,  2591,  1069,  1175
659,  1011,  814,  918
1477,  2078,  209,  266
858,  980,  655,  813
2362,  2620,  74,  147
3020,  3278,  966,  1028
2079,  2299,  1176,  1245
207,  414,  1018,  1083
783,  1401,  1316,  1334
1844,  2078,  167,  208
0,  47,  1128,  1311
1694,  1872,  1256,  1303
2592,  2799,  1069,  1103
3531,  3555,  737,  1027
2217,  2331,  89,  147
537,  658,  864,  918
1368,  1456,  196,  266
875,  971,  253,  315
2434,  2509,  0,  73
3447,  3530,  964,  1027
1244,  1337,  210,  266
1729,  1825,  154,  208
294,  414,  975,  1017
2290,  2339,  0,  88
781,  857,  757,  813
1121,  1213,  224,  266
1977,  2065,  123,  166
1611,  1699,  165,  208
2095,  2187,  106,  147
760,  845,  273,  315
700,  729,  195,  315
1754,  1849,  74,  106
947,  981,  165,  251
949,  1248,  1335,  1344
2001,  2090,  43,  75
2118,  2212,  28,  58
1855,  1947,  136,  166
682,  761,  730,  765
1879,  1973,  59,  88
1559,  1591,  89,  174
1027,  1115,  165,  195
1316,  1346,  121,  208
611,  643,  730,  811
1634,  1726,  89,  117
1146,  1239,  149,  176
783,  869,  195,  224
3020,  3143,  1029,  1049
0,  29,  1004,  1089
1391,  1482,  121,  148
1487,  1581,  182,  208
72,  148,  1004,  1036
731,  775,  675,  728
318,  395,  896,  927
191,  274,  953,  981
492,  520,  785,  864
1040,  1091,  221,  266
168,  206,  1029,  1083
251,  286,  896,  952
2300,  2445,  1176,  1189
122,  161,  953,  1003
371,  407,  843,  895
804,  857,  675,  709
2800,  2903,  1069,  1086
2592,  2701,  1104,  1119
560,  610,  785,  816
3279,  3329,  966,  997
584,  782,  1316,  1323
438,  491,  843,  870
1802,  1831,  107,  153
1511,  1558,  106,  134
1402,  1540,  1316,  1325
1160,  1221,  202,  223
1863,  1958,  114,  128
2103,  2196,  84,  98
1267,  1315,  135,  162
2240,  2289,  14,  40
981,  1011,  771,  813
1375,  1467,  174,  188
1619,  1711,  143,  157
898,  946,  179,  205
767,  853,  251,  265
544,  629,  843,  857
2385,  2433,  0,  25
2016,  2072,  101,  122
423,  507,  897,  911
730,  752,  195,  248
972,  1011,  286,  315
55,  138,  1063,  1076
698,  751,  792,  813
333,  385,  953,  974
3417,  3446,  964,  997
1921,  1979,  43,  58
176,  264,  1007,  1017
2369,  2433,  52,  66
1251,  1315,  188,  202
1001,  1039,  243,  266
2332,  2361,  117,  147
1928,  1964,  89,  113
1194,  1230,  177,  201
994,  1011,  605,  655
1068,  1123,  149,  164
882,  946,  232,  245
1737,  1801,  132,  146
1799,  1857,  59,  73
2168,  2202,  59,  83
1432,  1488,  106,  120
1440,  1473,  149,  173
1494,  1558,  161,  174
1684,  1717,  118,  142
788,  857,  737,  749
2224,  2289,  69,  81
824,  876,  179,  194
2042,  2097,  28,  42
1187,  1245,  135,  148
1457,  1476,  226,  266
1678,  1731,  74,  88
1338,  1367,  240,  266
1074,  1105,  196,  220
2163,  2219,  14,  27
2510,  2620,  67,  73
2050,  2080,  76,  100
2340,  2356,  0,  44
981,  991,  679,  747
1347,  1364,  121,  161
982,  998,  165,  207
832,  859,  225,  250
0,  18,  1090,  1127
3144,  3208,  1029,  1039
30,  45,  1004,  1047
1592,  1607,  89,  132
1032,  1171,  1345,  1349
611,  631,  812,  842
644,  659,  730,  769
304,  332,  946,  967
241,  265,  982,  1006
1131,  1159,  195,  216
669,  695,  784,  806
2079,  2202,  1246,  1250
521,  536,  785,  822
1011,  1039,  215,  235
1987,  2015,  95,  115
3020,  3078,  1050,  1059
1873,  1990,  1256,  1260
454,  536,  912,  918
87,  167,  1077,  1083
1694,  1786,  1304,  1309
846,  874,  297,  315
492,  508,  865,  895
1826,  1843,  180,  208
732,  751,  766,  791
2446,  2518,  1176,  1182
2300,  2371,  1190,  1196
2904,  2960,  1069,  1077
683,  782,  1324,  1328
576,  658,  858,  863
2592,  2646,  1120,  1128
367,  386,  928,  951
121,  138,  1037,  1062
1526,  1588,  175,  181
2800,  2848,  1087,  1095
1894,  1955,  129,  135
2134,  2194,  99,  105
3330,  3355,  966,  981
866,  948,  1335,  1339
2188,  2216,  133,  147
1406,  1464,  189,  195
1650,  1708,  158,  164
2702,  2750,  1104,  1111
3279,  3301,  998,  1014
1214,  1243,  254,  266
1541,  1617,  1316,  1320
1249,  1325,  1335,  1339
752,  780,  801,  813
491,  583,  1316,  1319
798,  850,  266,  272
993,  1011,  267,  285
1700,  1728,  197,  208
730,  741,  249,  277
386,  414,  963,  974
1402,  1463,  1326,  1330
287,  295,  896,  928
3400,  3416,  964,  980
408,  416,  843,  873
2227,  2260,  61,  68
